date,event_id,start_time,home_abbr,away_abbr,selection,odds,model_prob,implied_prob,value,stake,status,payout,profit,actual_outcome,created_at,updated_at
2025-12-03,DET-BOS-2025-12-03,2025-12-03T01:00:00+01:00,DET,BOS,home,1.77,0.814,0.504,0.31,100.0,won,177.0,77.0,home,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-03,MTL-OTT-2025-12-03,2025-12-03T01:00:00+01:00,MTL,OTT,away,2.2,0.816,0.405,0.41,100.0,won,220.0,120.0,away,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-03,FLA-TOR-2025-12-03,2025-12-03T01:30:00+01:00,FLA,TOR,home,1.87,0.944,0.478,0.465,100.0,lost,0.0,-100.0,away,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-03,NSH-CGY-2025-12-03,2025-12-03T02:00:00+01:00,NSH,CGY,away,2.45,0.782,0.366,0.416,100.0,lost,0.0,-100.0,home,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-03,COL-VAN-2025-12-03,2025-12-03T03:00:00+01:00,COL,VAN,away,4.9,0.787,0.189,0.598,100.0,lost,0.0,-100.0,home,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-03,EDM-MIN-2025-12-03,2025-12-03T03:00:00+01:00,EDM,MIN,away,2.75,0.852,0.325,0.528,100.0,won,275.0,175.0,away,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-03,VGK-CHI-2025-12-03,2025-12-03T04:00:00+01:00,VGK,CHI,away,4.5,0.58,0.202,0.378,100.0,lost,0.0,-100.0,home,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-03,LAK-WSH-2025-12-03,2025-12-03T04:30:00+01:00,LAK,WSH,away,2.45,0.899,0.365,0.535,100.0,won,245.0,145.0,away,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
2025-12-04,NJD-DAL-2025-12-04,2025-12-04T01:00:00+01:00,NJD,DAL,away,2.45,0.52,0.367,0.153,100.0,won,245.0,145.0,away,2025-12-04T08:53:09.155811,2025-12-04T09:04:41.348666
2025-12-04,MTL-WPG-2025-12-04,2025-12-04T01:30:00+01:00,MTL,WPG,home,2.4,0.517,0.372,0.145,100.0,lost,240.0,140.0,home,2025-12-04T08:53:09.155811,2025-12-04T09:04:41.348666
2025-12-04,PHI-BUF-2025-12-04,2025-12-04T01:30:00+01:00,PHI,BUF,home,2.45,0.409,0.363,0.046,100.0,won,245.0,145.0,home,2025-12-04T08:53:09.155811,2025-12-04T09:04:41.348666
2025-12-04,ANA-ARI-2025-12-04,2025-12-04T04:00:00+01:00,ANA,ARI,away,2.35,0.493,0.382,0.111,100.0,won,235.0,135.0,away,2025-12-04T08:53:09.155811,2025-12-04T09:04:41.348666
2025-12-04,SJS-WSH-2025-12-04,2025-12-04T04:00:00+01:00,SJS,WSH,home,2.75,0.426,0.325,0.101,100.0,lost,0.0,-100.0,away,2025-12-04T08:53:09.155811,2025-12-04T09:04:41.348666
2025-12-05,BOS-STL-2025-12-05,2025-12-05T01:00:00+01:00,BOS,STL,home,2.65,0.461,0.338,0.122,100.0,won,265.0,165.0,home,2025-12-04T08:48:28.383157,2025-12-05T08:37:15.787282
2025-12-05,CAR-TOR-2025-12-05,2025-12-05T01:00:00+01:00,CAR,TOR,away,3.3,0.372,0.271,0.101,100.0,won,330.0,230.0,away,2025-12-04T08:48:28.383137,2025-12-05T08:37:15.787536
2025-12-05,FLA-NSH-2025-12-05,2025-12-05T01:00:00+01:00,FLA,NSH,away,3.35,0.447,0.267,0.181,100.0,won,335.0,235.0,away,2025-12-04T08:48:28.383089,2025-12-05T08:37:15.787561
2025-12-05,TBL-PIT-2025-12-05,2025-12-05T01:00:00+01:00,TBL,PIT,away,3.35,0.455,0.268,0.187,100.0,won,335.0,235.0,away,2025-12-04T08:48:28.383113,2025-12-05T08:37:15.787584
2025-12-05,CBJ-DET-2025-12-05,2025-12-05T01:30:00+01:00,CBJ,DET,away,2.5,0.409,0.355,0.054,100.0,lost,0.0,-100.0,home,2025-12-04T08:48:28.383172,2025-12-05T08:37:15.787601
2025-12-05,CGY-MIN-2025-12-05,2025-12-05T03:00:00+01:00,CGY,MIN,home,2.45,0.437,0.363,0.074,100.0,won,245.0,145.0,home,2025-12-04T08:48:28.383188,2025-12-05T08:37:15.787617
2025-12-05,LAK-CHI-2025-12-05,2025-12-05T04:00:00+01:00,LAK,CHI,away,3.8,0.382,0.239,0.143,100.0,won,380.0,280.0,away,2025-12-04T13:21:19.633568,2025-12-05T08:37:15.787634
2025-12-06,DAL-SJS-2025-12-06,2025-12-06T02:00:00+01:00,DAL,SJS,away,4.3,0.393,0.21,0.183,100.0,pending,0.0,0.0,,2025-12-05T08:37:57.010365,2025-12-05T08:37:57.010365
